name;lat;long;status;category;wind;pressure;exact_sst_anomaly;year;month;day
Blanche;36.9;-69.0;hurricane;1;70.0;984.0;0.587158501148224;1975;7;27
Blanche;40.25;-66.80000000000001;hurricane;1;72.5;980.0;0.465800851583481;1975;7;28
Caroline;23.575;-95.25;hurricane;1;66.25;989.0;-0.777645528316498;1975;8;30
Caroline;30.2;-67.77142857142857;hurricane;3;80.0;979.8571428571429;-0.1371667299951826;1975;8;31
Doris;34.85;-44.2;hurricane;1;75.0;984.0;0.144969366490841;1975;9;1
Doris;36.725;-44.35;hurricane;2;93.75;966.25;-0.449699640274048;1975;9;2
Doris;40.3;-43.225;hurricane;2;93.75;966.25;-0.430187404155731;1975;9;3
Eloise;19.5;-68.4;hurricane;1;65.0;1002.0;-1.19857740402222;1975;9;16
Eloise;19.6;-69.2;hurricane;1;65.0;997.0;-1.19857740402222;1975;9;17
Eloise;25.7;-89.43333333333334;hurricane;1;75.0;986.3333333333334;-0.44190386931101466;1975;9;22
Eloise;28.633333333333336;-87.36666666666667;hurricane;2;103.33333333333333;960.3333333333334;-0.36002292235692335;1975;9;23
Gladys;15.8;-44.0;hurricane;1;65.0;990.0;-1.19857740402222;1975;9;25
Faye;22.625;-54.2625;hurricane;1;69.375;988.5;-0.7793472297489659;1975;9;26
Faye;26.5375;-58.975;hurricane;2;77.5;986.375;-0.7926086038351075;1975;9;27
Faye;30.075;-58.075;hurricane;2;71.875;988.5;-0.7664478942751897;1975;9;28
Faye;29.266666666666666;-55.699999999999996;hurricane;1;69.16666666666667;985.6666666666666;-0.5870949228604633;1975;9;29
Gladys;24.85;-67.225;hurricane;1;80.0;975.0;-0.48265607655048354;1975;9;30
Gladys;27.55;-71.925;hurricane;1;82.5;973.5;-0.360399454832077;1975;10;1
Gladys;34.25;-70.475;hurricane;3;112.5;943.5;-0.386639803647995;1975;10;2
Gladys;43.699999999999996;-56.73333333333333;hurricane;3;93.33333333333333;956.6666666666666;-1.0109562079111731;1975;10;3
Belle;26.6;-74.2;hurricane;1;70.0;985.0;-0.574714958667755;1976;8;7
Belle;27.975;-75.02499999999999;hurricane;1;91.25;962.75;-0.574714958667755;1976;8;8
Belle;33.6;-74.85;hurricane;3;98.75;962.25;-1.1002120897173864;1976;8;9
Belle;38.8;-73.8;hurricane;1;80.0;977.0;-0.316133707761765;1976;8;10
Candice;41.1;-59.15;hurricane;1;65.0;991.0;-1.41757583618164;1976;8;21
Candice;41.3;-56.4;hurricane;1;80.0;964.0;-1.41757583618164;1976;8;22
Candice;44.4;-51.2;hurricane;1;80.0;971.0;-1.41757583618164;1976;8;23
Emmy;26.55;-61.25;hurricane;1;65.0;990.5;-0.658980846405029;1976;8;25
Emmy;27.175;-56.95;hurricane;1;77.5;982.0;-0.658980846405029;1976;8;26
Emmy;30.9;-53.7;hurricane;2;85.0;975.0;-1.414790391922;1976;8;27
Emmy;33.5;-56.6;hurricane;2;85.0;975.0;-1.414790391922;1976;8;28
